year,sex,type_of_course,no_of_graduates
2011,Females,"Natural, Physical & Mathematical Sciences",1217
2011,Females,Medicine,119
2011,Females,Dentistry,26
2011,Females,Health Sciences,213
2011,Females,Information Technology,195
2012,Males,Accountancy,447
2012,Males,Business & Administration,572
2012,Males,Law,140
2012,Males,"Natural, Physical & Mathematical Sciences",837
2012,Males,Medicine,129
2012,Males,Dentistry,21
2012,Males,Health Sciences,61
2012,Males,Information Technology,484
2012,Females,Accountancy,589
2012,Females,Business & Administration,825
2012,Females,Law,207
2012,Females,"Natural, Physical & Mathematical Sciences",1074
2012,Females,Medicine,123
2012,Females,Dentistry,21
2012,Females,Health Sciences,218
2012,Females,Information Technology,280
2013,Males,Accountancy,399
2013,Males,Business & Administration,693
2013,Males,Law,189
2013,Males,"Natural, Physical & Mathematical Sciences",870
2013,Males,Medicine,134
2013,Males,Dentistry,21
2013,Males,Health Sciences,95
2013,Males,Information Technology,542
2013,Females,Accountancy,688
2013,Females,Business & Administration,897
2013,Females,Law,179
2013,Females,"Natural, Physical & Mathematical Sciences",1257
2013,Females,Medicine,124
2013,Females,Dentistry,27
2013,Females,Health Sciences,296
2013,Females,Information Technology,250
2014,Males,Accountancy,473
2014,Males,Business & Administration,631
2014,Males,Law,180
2014,Males,"Natural, Physical & Mathematical Sciences",786
2014,Males,Medicine,134
2014,Males,Dentistry,15
2014,Males,Health Sciences,124
2014,Males,Information Technology,708
2014,Females,Accountancy,649
2014,Females,Business & Administration,846
2014,Females,Law,176
2014,Females,"Natural, Physical & Mathematical Sciences",1103
2014,Females,Medicine,127
2014,Females,Dentistry,30
2014,Females,Health Sciences,309
2014,Females,Information Technology,289
